network,pool_address,date,open,high,low,close,volume
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-19,2.35607338028717e-05,2.46995149406304e-05,2.31508423589819e-05,2.31966136024704e-05,139.454223798656
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-18,2.24060114756599e-05,2.40176210980808e-05,2.24060114756599e-05,2.35607338028717e-05,170.456708285333
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-17,2.43015758141728e-05,2.47975529800312e-05,2.21972150309103e-05,2.24060114756599e-05,245.965703606106
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-16,2.24808635520483e-05,2.513664008875e-05,2.18439284774189e-05,2.43015758141728e-05,298.034859652719
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-15,2.32013256131336e-05,2.36951026875512e-05,2.18981397567988e-05,2.24808635520483e-05,193.675088862353
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-14,2.09386601630592e-05,2.34300963886315e-05,2.07463385129149e-05,2.32013256131336e-05,176.265961277318
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-13,2.16662169993541e-05,2.17307308687724e-05,2.06728571169472e-05,2.09386601630592e-05,68.2292761489555
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-12,2.14467619400871e-05,2.22586151237842e-05,2.13650789098398e-05,2.16662169993541e-05,84.3793126441523
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-11,2.01497712708932e-05,2.16753111413103e-05,2.01497712708932e-05,2.14467619400871e-05,91.1264564162042
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-10,1.99148834052229e-05,2.01819344192239e-05,1.94644626865872e-05,2.01497712708932e-05,85.4886122444115
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-09,2.09534877990334e-05,2.13268832389245e-05,1.98176086533879e-05,1.99148834052229e-05,144.910658262988
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-08,2.1268349011103e-05,2.14271083177326e-05,2.05869944779185e-05,2.09534877990334e-05,175.566412158409
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-07,2.18713434021756e-05,2.32524834236369e-05,2.1268349011103e-05,2.1268349011103e-05,152.921659396453
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-06,2.05694853474119e-05,2.19051499619017e-05,2.03416141825377e-05,2.18713434021756e-05,103.7118312442
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-05,2.15223194770852e-05,2.15223194770852e-05,2.04101913655777e-05,2.05694853474119e-05,44.4773277444899
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-04,2.00665569612575e-05,2.20433797380183e-05,1.99079051235064e-05,2.15223194770852e-05,197.426171228086
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-03,2.21414046471886e-05,2.31541296262985e-05,1.94863239714934e-05,2.00665569612575e-05,285.245977074526
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-02,2.39650039104008e-05,2.56404645981518e-05,2.0742142451514e-05,2.21414046471886e-05,383.249698650453
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-10-01,2.37791825903856e-05,2.62125584303307e-05,2.19180556197056e-05,2.39650039104008e-05,442.901889814101
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-30,2.29305727881923e-05,2.53527689292466e-05,2.24237813104421e-05,2.37791825903856e-05,480.530164222641
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-09-29,2.39352324779522e-05,2.47050959885345e-05,2.2679676683129e-05,2.29305727881923e-05,213.263589168955
